sija;hinta_sis_alv;hinta_alv0;urakkasumma_alv0;materiaalit_osto_alv0;materiaalit_alv0;laudoitus;raystas;homeenesto;maalinpoisto;pohjamaalaus;varinvaihto;maasto;korkeus;seinapinta_m2;maalit_l;tyo_h;kesto_pv
237;5941,29;4734,09;2044,58;627,30;470,47;Lomalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Keskitaso;218,13;43,39;64,78;4,05
238;5949,54;4740,67;1996,24;697,19;522,89;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;63,25;3,95
239;5956,34;4746,09;2058,18;619,09;464,32;Rimalaudoitus;Avoräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;39,75;65,21;4,08
240;5960,03;4749,03;2060,00;619,09;464,32;Rimalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;39,75;65,27;4,08
241;5960,06;4749,05;2084,71;586,17;439,63;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;36,54;66,05;4,13
242;5961,26;4750,01;2023,99;667,91;500,94;Panelointi;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;45,53;64,13;4,01
243;5961,26;4750,01;2023,99;667,91;500,94;Panelointi;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;45,53;64,13;4,01
244;5961,46;4750,17;2022,75;669,70;502,27;Lomalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;44,55;64,09;4,01
245;5962,59;4751,06;2077,53;597,40;448,05;Panelointi;Avoräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;37,69;65,82;4,11
246;5967,28;4754,80;2045,66;642,99;482,24;Panelointi;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;45,53;64,81;4,05
247;5967,65;4755,10;2052,10;634,65;475,99;Rimalaudoitus;Umpiräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;38,59;65,02;4,06
248;5967,94;4755,33;2049,33;638,53;478,90;Lomalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Korkea;218,13;44,55;64,93;4,06
249;5973,39;4759,67;2046,51;645,89;484,42;Rimalaudoitus;Avoräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;187,59;39,75;64,84;4,05
250;5973,39;4759,67;2046,51;645,89;484,42;Rimalaudoitus;Avoräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;39,75;64,84;4,05
251;5974,59;4760,63;2073,20;611,10;458,32;Panelointi;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;36,54;65,69;4,11
252;5978,71;4763,91;2040,91;656,86;492,64;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;47,02;64,66;4,04
253;5978,71;4763,91;2040,91;656,86;492,64;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;47,02;64,66;4,04
254;5983,56;4767,77;2004,64;708,43;531,32;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;53,36;63,51;3,97
255;5988,08;4771,38;2002,78;713,89;535,42;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;56,59;63,45;3,97
256;5996,75;4778,29;2021,33;694,89;521,17;Rimalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;48,17;64,04;4,00
257;5997,41;4778,81;2025,60;689,62;517,22;Lomalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;43,39;64,18;4,01
258;6003,86;4783,95;2101,79;592,29;444,22;Rimalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;39,75;66,59;4,16
259;6008,76;4787,86;2092,55;607,86;455,89;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;38,59;66,30;4,14
260;6013,13;4791,34;2030,98;692,84;519,63;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;45,53;64,35;4,02
261;6014,86;4792,71;2058,96;656,68;492,51;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;44,37;65,23;4,08
262;6014,86;4792,71;2058,96;656,68;492,51;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;44,37;65,23;4,08
263;6025,38;4801,10;2029,98;702,26;526,70;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;174,50;52,21;64,32;4,02
264;6025,38;4801,10;2029,98;702,26;526,70;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;174,50;52,21;64,32;4,02
265;6025,99;4801,59;2090,24;622,33;466,75;Panelointi;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;37,69;66,23;4,14
266;6031,69;4806,13;2115,60;592,29;444,22;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;39,75;67,03;4,19
267;6033,85;4807,85;2139,96;561,24;420,93;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;36,54;67,80;4,24
